FechaHora,Puerto/ID,IP,MAC,PON/Serial,PON Formateado,Resultado,VLAN3 Verificada,Detalles
2026-09-08 11:56:05,8,10.100.8.1,4C:46:D1:E3:C6:99,4c46d1-4c46d1e3c699,VSOL00E3C699,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:57:14,5,10.100.5.1,4C:46:D1:E3:A7:D9,4c46d1-4c46d1e3a7d9,VSOL00E3A7D9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:57:21,7,10.100.7.1,4C:46:D1:E3:C6:99,4c46d1-4c46d1e3c699,VSOL00E3C699,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:58:37,4,10.100.4.1,4C:46:D1:E3:DC:E9,4c46d1-4c46d1e3dce9,VSOL00E3DCE9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:59:11,6,10.100.6.1,4C:46:D1:E3:C6:61,4c46d1-4c46d1e3c661,VSOL00E3C661,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:59:18,8,10.100.8.1,4C:46:D1:E3:A7:D9,4c46d1-4c46d1e3a7d9,VSOL00E3A7D9,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:00:28,2,10.100.2.1,4C:46:D1:E3:DE:69,4c46d1-4c46d1e3de69,VSOL00E3DE69,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:00:40,3,10.100.3.1,4C:46:D1:E3:A7:89,4c46d1-4c46d1e3a789,VSOL00E3A789,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:02:12,1,10.100.1.1,4C:46:D1:E3:A8:11,4c46d1-4c46d1e3a811,VSOL00E3A811,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:28:33,7,10.100.7.1,4C:46:D1:E3:FF:21,,VSOL00E3FF21,ERROR,NO,Fallo: Locator.wait_for: Timeout 10000ms exceeded. Call log:   - waiting for locator("form.login-form").locator("button").first to be visible 
2026-09-08 12:28:46,8,10.100.8.1,,,,EXITO_LOGIN_FINAL,NO,Login final OK pero VLAN3 no verificada (revisar)
2026-09-08 12:30:32,2,10.100.2.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 12:30:38,6,10.100.6.1,4C:46:D1:E4:00:A1,4c46d1-4c46d1e400a1,VSOL00E400A1,ERROR,NO,Fallo: La ONU reporto fallo en la actualizacion
2026-09-08 12:31:34,6,10.100.6.1,4C:46:D1:E4:00:A1,4c46d1-4c46d1e400a1,VSOL00E400A1,ERROR,NO,Fallo: La ONU reporto fallo en la actualizacion
2026-09-08 12:31:45,4,10.100.4.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 12:32:01,5,10.100.5.1,4C:46:D1:E3:C7:C9,4c46d1-4c46d1e3c7c9,VSOL00E3C7C9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:32:19,7,10.100.7.1,4C:46:D1:E3:FF:21,4c46d1-4c46d1e3ff21,VSOL00E3FF21,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:32:31,6,10.100.6.1,4C:46:D1:E4:00:A1,4c46d1-4c46d1e400a1,VSOL00E400A1,ERROR,NO,Fallo: La ONU reporto fallo en la actualizacion
2026-09-08 12:33:31,3,10.100.3.1,4C:46:D1:E3:C7:C9,4c46d1-4c46d1e3c7c9,VSOL00E3C7C9,ERROR,NO,Fallo: Locator.wait_for: Timeout 20000ms exceeded. Call log:   - waiting for locator("input[type='password']").first to be visible 
2026-09-08 12:34:35,1,10.100.1.1,4C:46:D1:E3:C7:C9,4c46d1-4c46d1e3c7c9,VSOL00E3C7C9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:35:21,2,10.100.2.1,4C:46:D1:E4:02:F9,4c46d1-4c46d1e402f9,VSOL00E402F9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:35:56,4,10.100.4.1,4C:46:D1:E3:D4:61,4c46d1-4c46d1e3d461,VSOL00E3D461,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:37:01,3,10.100.3.1,4C:46:D1:E3:D4:91,4c46d1-4c46d1e3d491,VSOL00E3D491,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:37:21,4,10.100.4.1,4C:46:D1:E3:D4:61,4c46d1-4c46d1e3d461,VSOL00E3D461,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:37:22,7,10.100.7.1,4C:46:D1:E3:FF:21,4c46d1-4c46d1e3ff21,VSOL00E3FF21,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:37:23,3,10.100.3.1,4C:46:D1:E3:D4:91,4c46d1-4c46d1e3d491,VSOL00E3D491,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:37:23,2,10.100.2.1,4C:46:D1:E4:02:F9,4c46d1-4c46d1e402f9,VSOL00E402F9,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:37:30,1,10.100.1.1,4C:46:D1:E3:A7:71,4c46d1-4c46d1e3a771,VSOL00E3A771,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:37:30,5,10.100.5.1,4C:46:D1:E4:00:81,4c46d1-4c46d1e40081,VSOL00E40081,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:38:20,6,10.100.6.1,4C:46:D1:E4:00:A1,4c46d1-4c46d1e400a1,VSOL00E400A1,ERROR,NO,Fallo: La ONU reporto fallo en la actualizacion
2026-09-08 12:39:16,6,10.100.6.1,4C:46:D1:E4:00:A1,4c46d1-4c46d1e400a1,VSOL00E400A1,ERROR,NO,Fallo: La ONU reporto fallo en la actualizacion
2026-09-08 12:40:14,6,10.100.6.1,4C:46:D1:E4:00:A1,4c46d1-4c46d1e400a1,VSOL00E400A1,ERROR,NO,Fallo: La ONU reporto fallo en la actualizacion
2026-09-08 12:40:22,8,10.100.8.1,4C:46:D1:E3:C7:C9,4c46d1-4c46d1e3c7c9,VSOL00E3C7C9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 12:43:25,8,10.100.8.1,4C:46:D1:E3:C7:C9,4c46d1-4c46d1e3c7c9,VSOL00E3C7C9,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:43:26,1,10.100.1.1,4C:46:D1:E3:A7:71,4c46d1-4c46d1e3a771,VSOL00E3A771,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:43:26,3,10.100.3.1,4C:46:D1:E3:D4:91,4c46d1-4c46d1e3d491,VSOL00E3D491,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:43:26,5,10.100.5.1,4C:46:D1:E4:00:81,4c46d1-4c46d1e40081,VSOL00E40081,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:43:32,4,10.100.4.1,4C:46:D1:E3:D4:61,4c46d1-4c46d1e3d461,VSOL00E3D461,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:43:34,2,10.100.2.1,4C:46:D1:E4:02:F9,4c46d1-4c46d1e402f9,VSOL00E402F9,YA_CONFIGURADA,SI,ONU ya estaba en estado final con VLAN3 verificada
2026-09-08 12:48:28,1,10.100.1.1,,,,ERROR,NO,Fallo: Locator.wait_for: Timeout 10000ms exceeded. Call log:   - waiting for locator("form.login-form").locator("button").first to be visible     - waiting for "http://10.100.1.1/login" navigation to finish... 
2026-09-08 12:50:47,2,10.100.2.1,4C:46:D1:E4:00:A1,4c46d1-4c46d1e400a1,VSOL00E400A1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
